datetime,open,high,low,close,tick_volume,volume,spread
2021-03-19 12:00:00,108.85,109.05,108.743,108.879,32631,0,0
2021-03-22 00:00:00,108.671,108.955,108.605,108.654,26464,0,0
2021-03-22 12:00:00,108.654,108.859,108.633,108.831,26744,0,0
2021-03-23 00:00:00,108.832,108.873,108.637,108.662,21918,0,0
2021-03-23 12:00:00,108.661,108.757,108.407,108.614,31761,0,0
2021-03-24 00:00:00,108.614,108.718,108.451,108.634,26880,0,0
2021-03-24 12:00:00,108.634,108.956,108.626,108.725,32095,0,0
2021-03-25 00:00:00,108.723,109.163,108.712,109.052,23721,0,0
2021-03-25 12:00:00,109.052,109.237,109.023,109.165,29383,0,0
2021-03-26 00:00:00,109.163,109.497,109.131,109.471,23639,0,0
2021-03-26 12:00:00,109.471,109.847,109.47,109.676,26570,0,0
2021-03-29 00:00:00,109.707,109.802,109.373,109.632,23710,0,0
2021-03-29 12:00:00,109.632,109.845,109.545,109.803,24426,0,0
2021-03-30 00:00:00,109.794,110.31,109.721,110.251,25176,0,0
2021-03-30 12:00:00,110.251,110.428,110.186,110.351,27828,0,0
2021-03-31 00:00:00,110.357,110.966,110.273,110.512,32173,0,0
2021-03-31 12:00:00,110.513,110.838,110.414,110.708,31355,0,0
2021-04-01 00:00:00,110.703,110.825,110.57,110.768,24799,0,0
2021-04-01 12:00:00,110.768,110.847,110.545,110.604,23043,0,0
2021-04-02 00:00:00,110.595,110.667,110.374,110.387,11626,0,0
2021-04-02 12:00:00,110.388,110.749,110.386,110.623,28516,0,0
2021-04-05 00:00:00,110.595,110.749,110.524,110.604,16451,0,0
2021-04-05 12:00:00,110.604,110.629,109.962,110.173,21031,0,0
2021-04-06 00:00:00,110.174,110.479,110.099,110.4,25435,0,0
2021-04-06 12:00:00,110.4,110.553,109.668,109.743,32459,0,0
2021-04-07 00:00:00,109.743,109.942,109.578,109.859,32586,0,0
2021-04-07 12:00:00,109.858,109.938,109.598,109.832,31565,0,0
2021-04-08 00:00:00,109.846,109.904,109.437,109.455,24648,0,0
2021-04-08 12:00:00,109.455,109.576,108.999,109.27,30868,0,0
2021-04-09 00:00:00,109.268,109.681,109.203,109.659,24798,0,0
2021-04-09 12:00:00,109.659,109.96,109.555,109.658,28151,0,0
2021-04-12 00:00:00,109.605,109.769,109.378,109.469,25257,0,0
2021-04-12 12:00:00,109.469,109.474,109.245,109.378,22969,0,0
2021-04-13 00:00:00,109.384,109.752,109.285,109.325,26929,0,0
2021-04-13 12:00:00,109.322,109.593,109.018,109.059,36178,0,0
2021-04-14 00:00:00,109.054,109.076,108.751,108.981,25007,0,0
2021-04-14 12:00:00,108.981,109.095,108.881,108.916,19197,0,0
2021-04-15 00:00:00,108.912,108.965,108.701,108.773,16415,0,0
2021-04-15 12:00:00,108.773,108.878,108.611,108.762,22698,0,0
2021-04-16 00:00:00,108.762,108.964,108.61,108.853,20603,0,0
